route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
15,Saturday,94,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,115,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,95,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,116,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,96,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,117,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,97,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,118,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,98,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,119,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,99,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,120,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,100,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,121,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,101,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,122,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,102,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,123,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,103,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,124,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,104,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,125,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,105,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,126,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,106,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,127,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,107,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,128,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,108,Parkrose/Sumner Transit,1,180,213,0,0
15,Saturday,129,Fisher's Landing Transit,0,180,214,0,0
15,Saturday,109,Parkrose/Sumner Transit,1,180,213,0,0
